CD,Incumbent,Party,Clinton,Trump,2016Winner,IncumbentRunning
MA-04,"Kennedy, Joe",D,59.19,35.02,Obama,Y
MA-05,"Clark, Katherine",D,69.32,25.68,Obama,Y
MA-06,"Moulton, Seth",D,56.07,38.21,Obama,Y
MA-07,"Capuano, Mike",D,84.14,11.93,Obama,Y
MA-08,"Lynch, Stephen",D,60.42,34.37,Obama,Y
MA-09,"Keating, Bill",D,52.54,41.82,Obama,Y
MD-01,"Harris, Andy",R,33.4,61.97,Romney,Y
MD-02,"Ruppersberger, Dutch",D,60.06,35.68,Obama,Y
MD-03,"Sarbanes, John",D,62.77,32.26,Obama,Y
MD-04,"Brown, Anthony",D,77.19,19.71,Obama,Y
MD-05,"Hoyer, Steny",D,64.11,32.13,Obama,Y
MD-06,"Delaney, John",D,55.26,40.25,Obama,N
MD-07,"Cummings, Elijah",D,75.77,20.21,Obama,Y
MD-08,"Raskin, Jamie",D,64.99,30.57,Obama,Y
ME-01,"Pingree, Chellie",D,54.09,39.26,Obama,Y
ME-02,"Poliquin, Bruce",R,41.14,51.42,Obama,Y
MI-01,"Bergman, Jack",R,36.59,57.9,Romney,Y
MI-02,"Huizenga, Bill",R,38.23,55.76,Romney,Y
MI-03,"Amash, Justin",R,42.16,51.6,Romney,Y
MI-04,"Moolenaar, John",R,34.67,59.5,Romney,Y
MI-05,"Kildee, Dan",D,49.75,45.48,Obama,Y
MI-06,"Upton, Fred",R,42.86,51.3,Romney,Y
MI-07,"Walberg, Tim",R,38.66,55.72,Romney,Y
MI-08,"Bishop, Mike",R,43.85,50.64,Romney,Y
MI-09,"Levin, Sander",D,51.46,43.74,Obama,Y
MI-10,"Mitchell, Paul",R,31.60,63.77,Romney,Y
MI-11,"Trott, Dave",R,45.31,49.69,Romney,N
MI-12,"Dingell, Debbie",D,60.83,34.49,Obama,Y
MI-13,"Conyers, John",D,78.81,18.13,Obama,Y
MI-14,"Lawrence, Brenda",D,79.18,18.25,Obama,Y
MN-01,"Walz, Tim",D,38.39,53.3,Obama,N
MN-02,"Lewis, Jason",R,45.31,46.55,Obama,Y
MN-03,"Paulsen, Erik",R,50.84,41.37,Obama,Y
MN-04,"McCollum, Betty",D,61.54,30.57,Obama,Y
MN-05,"Ellison, Keith",D,73.72,18.48,Obama,Y
MN-06,"Emmer, Tom",R,33.25,58.92,Romney,Y
MN-07,"Peterson, Collin",D,31.03,61.78,Romney,Y
MN-08,"Nolan, Rick",D,38.59,54.2,Obama,N
